code_mission,localite,date_pose,numero_ligne,date_releve,numero_releve,numero_piege,latitude_piege,longitude_piege,code_resultat,abbrev_resultat,resultat,numero_terrain,commentaire,taxon_capture,numero_centre,date_dissection,sexe,observations,taxon_dissection,NA,morphologie
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,11,44.5977519,-0.64237,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,12,44.5977668,-0.6423212,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,13,44.5978106,-0.6422779,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,14,44.59783,-0.6422278,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,15,44.5978897,-0.6421669,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,16,44.5978891,-0.6420806,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,17,44.597932,-0.6419924,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,18,44.5980141,-0.6419532,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,19,44.5980129,-0.6418808,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,20,44.5980769,-0.6418122,1,capture,capture,NCHA100007,dead in trap,Apodemus,NCHA100007,2023-06-01,F,"Gestation, Morte dans le piege",Apodemus sylvaticus,0,1
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-01,2,21,44.5977621,-0.6425343,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,1,44.5972623,-0.643065,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,2,44.5973296,-0.6429497,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,3,44.5973132,-0.6428361,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,4,44.5973819,-0.642833,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,5,44.5974501,-0.6427772,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,6,44.5975417,-0.6426986,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,7,44.5975553,-0.6425965,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,8,44.5976414,-0.6425539,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,9,44.5977275,-0.6425519,0,0,0,,,,,,,,,1,0
FRA - BePrep - Juin 2023,FRA - BePrep - 10,2023-05-30,10,2023-06-02,3,10,44.5977764,-0.6425221,2,FV,fermé vide,,,,,,,,,1,0
